FID,MANZENT,TIMES_SELECTED,TOTAL_VIVIENDAS,REGION,PROVINCIA,COMUNA,NOMBRE_DISTRITO
124527,1107021008034,1,92,REGIÓN DE TARAPACÁ,IQUIQUE,ALTO HOSPICIO,ALTO HOSPICIO
31967,13127071001020,1,17,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,RECOLETA,QUINTA BELLA
41849,13201101005047,1,24,REGIÓN METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,LOS JARDINES
17604,13119201006001,2,441,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MAIPÚ,LOS PAJARITOS
69724,10101151002027,1,19,REGIÓN DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,TEPUAL
1504,13101021005033,1,245,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SANTIAGO,MONEDA
58325,7101111001042,1,25,REGIÓN DEL MAULE,TALCA,TALCA,HUILQUILEMU
81864,9119011002040,1,45,REGIÓN DE LA ARAUCANÍA,CAUTÍN,VILCÚN,VILCÚN
30517,13128071006001,1,107,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,RENCA,EL PEREJIL
15016,13114091001001,1,244,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LAS CONDES,EL PILLÁN
139633,8101241002012,2,250,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CONCEPCIÓN,OBSERVATORIO
125905,15101121010008,1,166,REGIÓN DE ARICA Y PARINACOTA,ARICA,ARICA,FUERTE CIUDADELA
18485,13119021002019,1,89,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MAIPÚ,LOS LIBERTADORES
30733,13127011002013,3,540,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,RECOLETA,RECOLETA
69476,10101071006010,1,31,REGIÓN DE LOS LAGOS,LLANQUIHUE,PUERTO MONTT,ALERCE
137912,8308011001024,1,28,REGIÓN DEL BIOBÍO,BIOBÍO,QUILACO,QUILACO
56461,6307011001008,1,9,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLCHAGUA,PERALILLO,PERALILLO
87635,5103011013002,1,140,REGIÓN DE VALPARAÍSO,VALPARAÍSO,CONCÓN,CONCÓN
128824,2101011015016,2,280,REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,LA CHIMBA
55154,6206011001001,1,85,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CARDENAL CARO,PAREDONES,PAREDONES
139358,8101251005002,1,33,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CONCEPCIÓN,LARENAS
96175,5503031001016,1,95,REGIÓN DE VALPARAÍSO,QUILLOTA,HIJUELAS,COQUIMBITO
101734,5804081003009,1,175,REGIÓN DE VALPARAÍSO,MARGA MARGA,VILLA ALEMANA,SAN ENRIQUE
1513,13101031006001,3,1058,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SANTIAGO,AMUNÁTEGUI
9529,13110021006007,1,87,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA FLORIDA,BALNEARIO MUNICIPAL
141588,8103051001014,1,135,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CHIGUAYANTE,LA LEONERA
14778,13114111006008,1,60,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LAS CONDES,ESTADIO ESPAÑOL
32693,13129021003901,1,225,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SAN JOAQUÍN,EL PINAR
70881,10109011005027,2,192,REGIÓN DE LOS LAGOS,LLANQUIHUE,PUERTO VARAS,PUERTO VARAS
105860,4102021003001,1,28,REGIÓN DE COQUIMBO,ELQUI,COQUIMBO,LORD COCHRANE
107233,4101141002015,1,34,REGIÓN DE COQUIMBO,ELQUI,LA SERENA,LA COMPAÑÍA
142162,8102021001033,1,14,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CORONEL,VILLA MORA
45321,13201051003015,1,29,REGIÓN METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,BAJOS DE MENA
139222,8101131001006,1,101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CONCEPCIÓN,GENERAL CRUZ
92163,5301061004032,1,19,REGIÓN DE VALPARAÍSO,LOS ANDES,LOS ANDES,CHACABUCO
8699,13110051001018,1,16,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA FLORIDA,DEPARTAMENTAL
109724,4203011001077,1,12,REGIÓN DE COQUIMBO,CHOAPA,LOS VILOS,LOS VILOS
47055,13201181002017,1,36,REGIÓN METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,AVENIDA CHILOÉ
74164,9101061004034,1,20,REGIÓN DE LA ARAUCANÍA,CAUTÍN,TEMUCO,PUEBLO NUEVO
4437,13104091003008,1,121,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CONCHALÍ,MUNICIPALIDAD
8131,13110211003027,1,200,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LA FLORIDA,LÍA AGUIRRE
121078,1101041004013,2,97,REGIÓN DE TARAPACÁ,IQUIQUE,IQUIQUE,CAUPOLICÁN
138520,8101261001008,1,114,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CONCEPCIÓN,PEDRO DE VALDIVIA
124032,1101111005012,1,258,REGIÓN DE TARAPACÁ,IQUIQUE,IQUIQUE,LA TIRANA
85058,5101051001026,1,41,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VALPARAÍSO,CERRO CORDILLERA
93214,5301011004003,1,20,REGIÓN DE VALPARAÍSO,LOS ANDES,LOS ANDES,LA FERIA
18166,13117011002012,1,51,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,LO PRADO,LO PRADO
122979,15101171001019,2,52,REGIÓN DE ARICA Y PARINACOTA,ARICA,ARICA,PEDRO BLANQUIER
39701,13501021002006,1,177,REGIÓN METROPOLITANA DE SANTIAGO,MELIPILLA,MELIPILLA,MELIPILLA ORIENTE
37354,13401031001024,1,189,REGIÓN METROPOLITANA DE SANTIAGO,MAIPO,SAN BERNARDO,CALDERÓN DE LA BARCA
24580,13123061003001,1,130,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PROVIDENCIA,PARQUE BUSTAMANTE
119134,3301051002500,1,40,REGIÓN DE ATACAMA,HUASCO,VALLENAR,LOS CANALES
115135,3101211001007,1,51,REGIÓN DE ATACAMA,COPIAPÓ,COPIAPÓ,PUNTA NEGRA
2538,13104031002022,2,342,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CONCHALÍ,POMAIRE
76,13101111013901,4,778,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SANTIAGO,SAN ISIDRO
6645,13108061002004,4,854,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,INDEPENDENCIA,EL MOLINO
81821,9119101001029,1,25,REGIÓN DE LA ARAUCANÍA,CAUTÍN,VILCÚN,CAJÓN
24171,13120041004001,4,1069,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,ÑUÑOA,CHACRA VALPARAÍSO
65905,11201011001011,1,25,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,AYSÉN,AYSÉN,PUERTO AYSÉN
32819,13130011002023,1,108,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,SAN MIGUEL,BARROS LUCO
38212,13404021001019,1,86,REGIÓN METROPOLITANA DE SANTIAGO,MAIPO,PAINE,HUELQUÉN
50105,6101091008013,1,317,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,RANCAGUA,LA GAMBOINA
20561,13119181005030,2,39,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MAIPÚ,EL CARMEN
46054,13201131002007,1,30,REGIÓN METROPOLITANA DE SANTIAGO,CORDILLERA,PUENTE ALTO,ARTURO PRAT
19867,13119111002005,1,226,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,MAIPÚ,LAS HERAS
