FID,MANZENT,TIMES_SELECTED,TOTAL_VIVIENDAS,REGION,PROVINCIA,COMUNA,NOMBRE_DISTRITO
131457,2201111005012,2,19,REGIÓN DE ANTOFAGASTA,EL LOA,CALAMA,MAIPÚ
74223,9101121003004,1,36,REGIÓN DE LA ARAUCANÍA,CAUTÍN,TEMUCO,SAN CARLOS
58519,7101061005011,1,34,REGIÓN DEL MAULE,TALCA,TALCA,MIRADOR
4744,13105041001018,1,27,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,EL BOSQUE,SARGENTO ALDEA
141604,8103051008001,3,293,REGIÓN DEL BIOBÍO,CONCEPCIÓN,CHIGUAYANTE,CHIGUAYANTE
41497,13605011003001,1,197,REGIÓN METROPOLITANA DE SANTIAGO,TALAGANTE,PEÑAFLOR,PEÑAFLOR
101032,5801021005036,1,29,REGIÓN DE VALPARAÍSO,MARGA MARGA,QUILPUÉ,BELLOTO SUR
22578,13120081003011,1,14,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,ÑUÑOA,ESTADIO NACIONAL
91017,5109101004021,3,66,REGIÓN DE VALPARAÍSO,VALPARAÍSO,VIÑA DEL MAR,ÁLVAREZ
146666,8111021004013,3,429,REGIÓN DEL BIOBÍO,CONCEPCIÓN,TOMÉ,RALIHUE
58392,7101131008007,1,82,REGIÓN DEL MAULE,TALCA,TALCA,LA FLORIDA
58421,7101041004015,2,39,REGIÓN DEL MAULE,TALCA,TALCA,HOSPITAL
52475,6113051001024,3,66,REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,PICHIDEGUA,LAS PATAGUAS
1115,13102011003031,1,52,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,CERRILLOS,CERRILLOS
23622,13122081004013,1,18,REGIÓN METROPOLITANA DE SANTIAGO,SANTIAGO,PEÑALOLÉN,QUEBRADA CAMARONES
